,Office,Dept,Year,Page
0,秘書課,Admin,12,2
1,職員課,Admin,12,3
2,文書課,Admin,12,4

3,庶務課,監査局,12,5
4,監察課,監査局,12,6
5,区政課,監査局,12,7
6,統計課,監査局,12,8
7,都市計画課,監査局,12,10

8,主計課,財務局,12,12
9,公債課,財務局,12,13
10,主税課,財務局,12,14
12,経理課,財務局,12,20
13,地理課,財務局,12,21
14,会計課,財務局,12,24

15,庶務課,産業局,12,25
16,商工課,産業局,12,25
17,農漁課,産業局,12,27
18,権度課,産業局,12,29

19,庶務課,教育局,12,30
20,学務課,教育局,12,31
21,社会教育課,教育局,12,31
22,体育課,教育局,12,34
23,視学課,教育局,12,38

24,庶務課,社会局,12,42
25,保護課,社会局,12,43
26,福利課,社会局,12,52
27,職業課,社会局,12,55

28,庶務課,保健局,12,59
29,衛生課,保健局,12,60
30,清掃課,保健局,12,63
31,公園課,保健局,12,73

32,庶務課,水道局,12,75
33,会計課,水道局,12,77
34,業務課,水道局,12,78
35,給水課,水道局,12,84
36,拡張課,水道局,12,86


38,庶務課,土木局,12,90
41,道路管理課,土木局,12,92
42,道路建設課,土木局,12,94
43,河川課,土木局,12,95
37,下水課,土木局,12,98
39,工事課,土木局,12,103
44,建築課,土木局,12,103

45,　人事掛,電気局,12,117
46,庶務課,電気局,12,117
47,労働課,電気局,12,118
48,会計課,電気局,12,120
49,電車課,電気局,12,121
50,自動車課,電気局,12,129
51,電灯課,電気局,12,132
52,電力課,電気局,12,135
53,工務課,電気局,12,138

54,庶務課,港湾部,12,142
55,技術課,港湾部,12,143
57,港務所,港湾部,12,144

58,監理課,中央卸売市場,12,145
59,企画課,中央卸売市場,12,146

60,院長室,養育院,12,147
61,監護課,養育院,12,148
62,医務課,養育院,12,148
63,会計課,養育院,12,149
66,井之頭学校,養育院,12,150
64,巣鴨分院,養育院,12,150
65,安房分院,養育院,12,150

66,庶務課,電気研究所,12,147
67,試験課,電気研究所,12,147
68,研究課,電気研究所,12,147
