,Office,Dept,Year
0,秘書課,Admin,2
1,文書課,Admin,2
2,財務課,Admin,2
3,監査課,Admin,2
4,統計課,Admin,2
5,商工課,Admin,2
6,会計課,Admin,2
7,経理課,Admin,2
8,地理課,Admin,2
9,学務課,教育局,2
10,社会教育課,教育局,2
11,視学課,教育局,2
12,保護課,社会局,2
13,公営課,社会局,2
14,職業課,社会局,2
15,衛生課,保健局,2
16,清掃課,保健局,2
17,公園課,保健局,2
18,庶務課,水道局,2
19,給水課,水道局,2
20,浄水課,水道局,2
21,工事課,水道局,2
22,庶務課,土木局,2
23,道路課,土木局,2
24,橋梁課,土木局,2
25,河港課,土木局,2
26,下水課,土木局,2
27,建築課,土木局,2
28,庶務課,復興事業局,2
29,施業課,復興事業局,2
30,工事課,復興事業局,2
31,庶務課,電気局,2
32,経理課,電気局,2
33,会計課,電気局,2
34,運輸課,電気局,2
35,自動車課,電気局,2
36,電灯課,電気局,2
37,電力課,電気局,2
38,工務課,電気局,2
39,車輌課,電気局,2
40,工場,電気局,2
41,高速鉄道調査課（T15.12.18）,電気局,2
